ssid,disab,index
13711598,10,1
13717812,10,1
13718444,10,1
13725912,10,1
13736396,10,1
13759108,10,1
13759329,10,1
13777408,10,1
13783165,10,1
13783432,10,1
13788515,10,1
13788663,10,1
13795023,10,1
13797646,10,1
13800787,10,1
13807560,10,1
13808400,10,1
13809792,10,1
13811983,10,1
13814133,10,1
13815172,10,1
13823183,10,1
13824635,10,1
13829858,10,1
13833618,10,1
13833618,10,2
13833987,10,1
13833995,10,1
13834924,10,1
13834940,10,1
13834983,10,1
13838342,10,1
13841882,10,1
13843567,10,1
13846272,10,1
13846302,10,1
13849018,10,1
13849123,10,1
13849409,10,1
13850423,10,1
13851381,10,1
13851713,10,1
13852361,10,1
13853902,10,1
13854100,10,1
13854283,10,1
13856162,10,1
13857665,10,1
13860542,10,1
13865781,10,1
13866583,10,1
13867881,10,1
13868292,10,1
13868624,10,1
13872842,10,1
13876899,10,1
13879006,10,1
13882317,10,1
13882929,10,1
13888056,10,1
13889079,10,1
13889087,10,1
13891286,10,1
13892223,10,1
13893947,10,1
13895656,10,1
13895958,10,1
13898280,10,1
13900080,10,1
13903462,10,1
13907395,10,1
13910485,10,1
13910647,10,1
13911732,10,1
13913093,10,1
13914235,10,1
13920294,10,1
13920669,10,1
13922300,10,1
13929852,10,1
13934791,10,1
13938983,10,1
13940414,10,1
13940767,10,1
13942409,10,1
13952617,10,1
13952706,10,1
13955179,10,1
13956604,10,1
13956701,10,1
13957910,10,1
13959662,10,1
13964771,10,1
13969315,10,1
13973029,10,1
13979485,10,1
13980661,10,1
13982311,10,1
13983377,10,1
13983911,10,1
13984330,10,1
13991183,10,1
13991906,10,1
13992597,10,1
14001705,10,1
14002353,10,1
14002388,10,1
14004240,10,1
14004348,10,1
14011298,10,1
14012979,10,1
14013207,10,1
14016400,10,1
14017997,10,1
14023296,10,1
14023423,10,1
14025701,10,1
14026643,10,1
14027402,10,1
14035634,10,1
14054302,10,1
14054337,10,1
14055597,10,1
14066513,10,1
14078414,10,1
14107260,10,1
14159414,10,1
14182769,10,1
14184214,10,1
14186098,10,1
14187914,10,1
14197588,10,1
14211106,10,1
14224070,10,1
14226170,10,1
14242613,10,1
14243962,10,1
14252694,10,1
14265540,10,1
14268965,10,1
14272547,10,1
14274280,10,1
14289784,10,1
14298708,10,1
14302276,10,1
14305569,10,1
14323559,10,1
14327600,10,1
14334127,10,1
14350971,10,1
14355264,10,1
14363038,10,1
14368285,10,1
14369826,10,1
14378949,10,1
14381567,10,1
14384582,10,1
14390221,10,1
14390345,10,1
14390981,10,1
14391090,10,1
14391740,10,1
14398567,10,1
14405474,10,1
14406284,10,1
14406810,10,1
14413833,10,1
14429659,10,1
14429993,10,1
14445719,10,1
14448459,10,1
14456532,10,1
14463407,10,1
14472910,10,1
14479931,10,1
14486059,10,1
14499339,10,1
14503670,10,1
14510871,10,1
14517965,10,1
14528371,10,1
14530899,10,1
14533111,10,1
14535920,10,1
14540444,10,1
14546337,10,1
14547252,10,1
14565013,10,1
14568829,10,1
14592010,10,1
14595524,10,1
14601125,10,1
14608855,10,1
14611503,10,1
14623765,10,1
14627787,10,1
14628848,10,1
14628899,10,1
14632233,10,1
14632519,10,1
14634201,10,1
14636352,10,1
14637626,10,1
14640570,10,1
14643073,10,1
14657252,10,1
14662868,10,1
14667258,10,1
14679434,10,1
14690977,10,1
14693062,10,1
14700905,10,1
14701235,10,1
14705133,10,1
14711877,10,1
14712954,10,1
14718200,10,1
14719533,10,1
14724294,10,1
14728311,10,1
14741024,10,1
14745135,10,1
14746751,10,1
14748010,10,1
14750279,10,1
14750953,10,1
14755351,10,1
14759160,10,1
14770903,10,1
14777541,10,1
14791854,10,1
14793571,10,1
14796724,10,1
14799774,10,1
14801817,10,1
14804212,10,1
14804573,10,1
14805588,10,1
14808641,10,1
14819554,10,1
14819899,10,1
14827271,10,1
14829029,10,1
14832526,10,1
14837706,10,1
14855054,10,1
14863774,10,1
14869691,10,1
14895749,10,1
14900319,10,1
14902362,10,1
14910047,10,1
14914743,10,1
14914743,10,2
14932342,10,1
14946769,10,1
14959755,10,1
14966662,10,1
14973626,10,1
14981319,10,1
14983931,10,1
14993562,10,1
14998351,10,1
15008487,10,1
15010511,10,1
15011410,10,1
15040216,10,1
15044351,10,1
15048578,10,1
15058751,10,1
15088936,10,1
15094227,10,1
15101967,10,1
15107043,10,1
15117189,10,1
15118940,10,1
15119793,10,1
15125041,10,1
15127761,10,1
15136752,10,1
15137406,10,1
15142728,10,1
